geo,date,bell's palsy,black legged tick,black tick,bullseye rash,ca water,carpinteria,cataratas del niagara,cave of the winds colorado springs,cheap bmx,cheap bmx bikes,deer tick,facial paralysis,fever,half moon bay ca,hotels ca,hotels nc,how to make string bracelets,joint pain,knee pain,lake almanor ca,loans for,lyme,lyme disease,make string bracelets,moon bay ca,nb canada,ohsweken,pigeon forge hotels,produce stand,rash,recipes on the grill,ri things to do,sandstone amphitheater,seattle airport car rental,string bracelets,swollen joint,swollen joints,swollen knee,swollen knees,tick,tired,world rv
US-AZ,2004-11-01,0,NA,0,NA,45,60,0,NA,NA,NA,0,0,28,NA,16,77,NA,0,20,0,43,55,48,NA,NA,NA,NA,NA,0,21,NA,NA,NA,0,61,91,NA,100,NA,33,30,31
US-AZ,2004-12-01,0,NA,0,NA,40,0,0,NA,NA,NA,0,0,30,NA,10,68,NA,38,35,0,40,39,21,NA,NA,NA,NA,NA,0,18,NA,NA,NA,0,53,0,NA,0,NA,29,21,27
US-AZ,2005-01-01,48,NA,0,NA,35,47,0,NA,NA,NA,0,0,30,NA,15,0,NA,84,36,0,53,26,19,NA,NA,NA,NA,NA,0,34,NA,NA,NA,0,47,0,NA,0,NA,45,23,0
US-AZ,2005-02-01,100,NA,0,NA,36,49,0,NA,NA,NA,84,0,50,NA,19,0,NA,71,48,0,28,30,19,NA,NA,NA,NA,NA,0,24,NA,NA,NA,0,0,0,NA,0,NA,27,29,50
US-AZ,2005-03-01,86,NA,0,NA,63,0,0,NA,NA,NA,0,0,60,NA,27,0,NA,30,33,0,36,41,45,NA,NA,NA,NA,NA,0,29,NA,NA,NA,0,0,0,NA,70,NA,29,33,21
US-AZ,2005-04-01,94,NA,0,NA,0,0,0,NA,NA,NA,0,0,74,NA,26,59,NA,33,36,0,35,34,27,NA,NA,NA,NA,NA,0,29,NA,NA,NA,0,0,0,NA,0,NA,25,27,0
US-AZ,2005-05-01,42,NA,0,NA,31,0,0,NA,NA,NA,71,0,40,NA,31,53,NA,45,37,0,71,55,50,NA,NA,NA,NA,NA,0,36,NA,NA,NA,0,0,62,NA,0,NA,45,13,35
US-AZ,2005-06-01,43,NA,0,NA,47,42,0,NA,NA,NA,0,0,47,NA,43,81,NA,76,33,0,80,46,39,NA,NA,NA,NA,NA,0,39,NA,NA,NA,97,0,0,NA,70,NA,64,27,28
US-AZ,2005-07-01,42,NA,0,NA,72,41,0,NA,NA,NA,0,0,45,NA,79,79,NA,74,23,0,51,38,33,NA,NA,NA,NA,NA,0,40,NA,NA,NA,0,0,0,NA,69,NA,45,35,32
US-AZ,2005-08-01,77,NA,0,NA,83,0,0,NA,NA,NA,64,57,48,NA,26,48,NA,27,44,0,43,46,30,NA,NA,NA,NA,NA,0,44,NA,NA,NA,87,0,0,NA,0,NA,36,29,19
US-AZ,2005-09-01,73,NA,0,NA,35,35,0,NA,NA,NA,0,0,41,NA,25,0,NA,50,23,0,51,64,52,NA,NA,NA,NA,NA,0,47,NA,NA,NA,0,0,0,NA,59,NA,48,37,18
US-AZ,2005-10-01,69,NA,0,NA,25,0,0,NA,NA,NA,0,0,50,NA,15,43,NA,36,22,0,32,41,22,NA,NA,NA,NA,NA,0,31,NA,NA,NA,0,0,0,NA,0,NA,51,28,34
US-AZ,2005-11-01,0,NA,0,NA,26,34,0,NA,NA,NA,0,0,55,NA,9,0,NA,62,31,0,36,38,32,NA,NA,NA,NA,NA,0,42,NA,NA,NA,0,0,0,NA,0,NA,47,25,18
US-AZ,2005-12-01,34,NA,0,NA,0,0,0,NA,NA,NA,0,50,72,NA,8,42,NA,0,25,0,34,36,31,NA,NA,NA,NA,NA,0,27,NA,NA,NA,0,0,0,NA,0,NA,58,21,16
US-AZ,2006-01-01,30,NA,0,NA,22,0,0,NA,NA,NA,0,0,44,NA,17,37,NA,21,13,0,30,25,29,NA,NA,NA,NA,NA,0,24,NA,NA,NA,0,0,43,NA,0,NA,24,19,29
US-AZ,2006-02-01,30,NA,0,NA,0,88,0,NA,NA,NA,0,0,64,NA,36,38,NA,42,29,0,34,36,35,NA,NA,NA,NA,NA,0,30,NA,NA,NA,68,0,0,NA,0,NA,32,21,15
US-AZ,2006-03-01,53,NA,0,NA,19,51,0,NA,NA,NA,0,0,56,NA,36,33,NA,28,34,0,49,25,31,NA,NA,NA,NA,NA,0,26,NA,NA,NA,0,0,0,NA,0,NA,35,28,35
US-AZ,2006-04-01,45,NA,0,NA,20,26,0,NA,NA,NA,0,0,68,NA,30,34,NA,77,32,0,30,32,11,NA,NA,NA,NA,NA,100,44,NA,NA,NA,0,0,80,NA,44,NA,40,22,13
US-AZ,2006-05-01,52,NA,0,NA,29,76,0,NA,NA,NA,44,0,61,NA,29,65,NA,37,14,0,27,43,34,NA,NA,NA,NA,NA,0,43,NA,NA,NA,0,26,0,NA,0,NA,32,20,22
US-AZ,2006-06-01,27,NA,0,NA,39,26,0,NA,NA,NA,45,0,44,NA,78,68,NA,38,18,100,63,32,18,NA,NA,NA,NA,NA,0,39,NA,NA,NA,0,27,40,NA,0,NA,58,35,18
US-AZ,2006-07-01,66,NA,0,NA,58,0,0,NA,NA,NA,44,0,46,NA,56,0,NA,84,29,0,61,60,41,NA,NA,NA,NA,NA,0,49,NA,NA,NA,0,0,39,NA,0,NA,71,27,13
US-AZ,2006-08-01,23,NA,0,NA,23,68,0,NA,NA,NA,0,0,40,NA,36,29,NA,33,23,0,65,50,40,NA,NA,NA,NA,NA,0,37,NA,NA,NA,0,0,0,NA,38,NA,41,33,19
US-AZ,2006-09-01,31,NA,0,NA,34,23,0,NA,NA,NA,0,0,44,NA,29,29,NA,33,20,0,46,42,15,NA,NA,NA,NA,NA,85,32,NA,NA,NA,0,0,0,NA,0,NA,53,21,19
US-AZ,2006-10-01,44,NA,100,NA,24,21,0,NA,NA,NA,0,0,42,NA,12,28,NA,46,17,0,26,36,23,NA,NA,NA,NA,NA,0,38,NA,NA,NA,0,21,0,NA,0,NA,50,24,22
US-AZ,2006-11-01,44,NA,0,NA,40,0,0,NA,NA,NA,36,0,37,NA,19,28,NA,38,24,0,30,29,17,NA,NA,NA,NA,NA,0,38,NA,NA,NA,0,0,0,NA,0,NA,38,26,33
US-AZ,2006-12-01,44,NA,0,NA,38,0,0,NA,NA,NA,0,0,40,NA,21,28,NA,23,14,0,33,24,23,NA,NA,NA,NA,NA,0,39,NA,NA,NA,50,22,33,NA,36,NA,29,14,22
US-AZ,2007-01-01,26,NA,0,NA,14,38,0,NA,NA,NA,0,0,53,NA,29,32,NA,48,46,0,38,25,26,NA,NA,NA,NA,NA,0,25,NA,NA,NA,0,19,0,NA,0,NA,29,22,32
US-AZ,2007-02-01,41,NA,0,NA,15,20,0,NA,NA,NA,34,0,54,NA,34,50,NA,43,42,0,62,29,21,NA,NA,NA,NA,NA,0,36,NA,NA,NA,0,0,30,NA,0,NA,22,30,13
US-AZ,2007-03-01,43,NA,0,NA,18,18,0,NA,NA,NA,0,0,52,NA,47,34,NA,38,32,67,63,30,26,NA,NA,NA,NA,NA,0,43,NA,NA,NA,41,0,27,NA,30,NA,37,29,30
US-AZ,2007-04-01,36,NA,0,NA,13,0,0,NA,NA,NA,30,26,39,NA,35,22,NA,19,31,0,37,36,26,NA,NA,NA,NA,NA,0,37,NA,NA,NA,40,0,26,NA,0,NA,38,37,18
US-AZ,2007-05-01,22,NA,0,NA,24,41,0,NA,NA,NA,28,0,39,NA,44,42,NA,53,24,0,50,36,24,NA,NA,NA,NA,NA,0,35,NA,NA,NA,38,0,0,NA,0,NA,36,29,28
US-AZ,2007-06-01,26,NA,0,NA,26,34,0,NA,NA,NA,58,0,34,NA,69,22,NA,31,17,0,64,42,37,NA,NA,NA,NA,NA,0,42,NA,NA,NA,0,0,0,NA,0,NA,24,25,23
US-AZ,2007-07-01,34,NA,0,NA,24,16,0,NA,NA,NA,0,0,43,NA,50,42,NA,29,44,62,53,40,33,NA,NA,NA,NA,NA,0,38,NA,NA,NA,0,16,0,NA,0,NA,38,33,17
US-AZ,2007-08-01,62,NA,0,NA,38,45,0,NA,NA,NA,0,0,44,NA,47,39,NA,33,22,58,68,46,24,NA,NA,NA,NA,NA,0,58,NA,NA,NA,35,0,23,NA,0,NA,48,30,23
US-AZ,2007-09-01,16,NA,0,NA,23,0,0,NA,NA,NA,26,0,48,NA,29,26,NA,34,24,0,71,42,37,NA,NA,NA,NA,NA,0,45,NA,NA,NA,36,0,23,NA,26,NA,55,29,24
US-AZ,2007-10-01,37,NA,0,NA,18,14,0,NA,NA,NA,25,22,49,NA,39,18,NA,31,33,0,40,24,15,NA,NA,NA,NA,NA,0,39,NA,NA,NA,33,0,0,NA,36,NA,71,29,12
US-AZ,2007-11-01,30,NA,0,NA,27,14,0,NA,NA,NA,25,0,61,NA,26,37,NA,47,26,0,56,27,21,NA,NA,NA,NA,NA,0,44,NA,NA,NA,34,0,0,NA,0,NA,42,35,20
US-AZ,2007-12-01,23,NA,0,NA,41,15,0,NA,NA,NA,26,23,40,NA,15,19,NA,43,30,0,46,31,14,NA,NA,NA,NA,NA,0,24,NA,NA,NA,0,0,0,NA,25,NA,23,36,15
US-AZ,2008-01-01,23,NA,0,NA,23,13,0,NA,NA,NA,34,0,49,NA,38,45,NA,15,31,0,69,26,14,NA,NA,NA,NA,NA,0,37,NA,NA,NA,31,0,20,NA,45,NA,22,30,32
US-AZ,2008-02-01,21,NA,0,NA,24,14,70,NA,NA,NA,0,0,57,NA,39,35,NA,50,20,0,58,32,28,NA,NA,NA,NA,NA,0,51,NA,NA,NA,0,0,0,NA,35,NA,30,26,12
US-AZ,2008-03-01,42,NA,0,NA,35,26,0,NA,NA,NA,0,0,58,NA,40,51,NA,43,21,0,48,26,32,NA,NA,NA,NA,NA,0,46,NA,NA,NA,0,0,40,NA,22,NA,31,33,25
US-AZ,2008-04-01,22,NA,0,NA,29,19,0,NA,NA,NA,22,20,54,NA,31,25,NA,57,26,0,61,33,33,NA,NA,NA,NA,NA,0,39,NA,NA,NA,0,0,20,NA,0,NA,32,28,33
US-AZ,2008-05-01,23,NA,0,NA,46,0,0,NA,NA,NA,0,20,41,NA,40,17,NA,71,31,0,54,32,35,NA,NA,NA,NA,NA,0,46,NA,NA,NA,0,0,0,NA,0,NA,45,27,27
US-AZ,2008-06-01,29,NA,0,NA,42,14,0,NA,NA,NA,0,21,42,NA,54,71,NA,45,25,0,52,51,39,NA,NA,NA,NA,NA,0,45,NA,NA,NA,32,0,0,NA,23,NA,50,29,21
US-AZ,2008-07-01,28,NA,0,NA,44,20,69,NA,NA,NA,23,0,39,NA,60,75,NA,44,21,0,64,44,27,NA,NA,NA,NA,NA,0,54,NA,NA,NA,0,13,0,NA,22,NA,28,40,14
US-AZ,2008-08-01,34,NA,0,NA,43,13,0,NA,NA,NA,0,0,44,NA,36,42,NA,38,19,50,54,54,33,NA,NA,NA,NA,NA,0,47,NA,NA,NA,30,13,0,NA,22,NA,54,38,31
US-AZ,2008-09-01,22,NA,0,NA,31,19,0,NA,NA,NA,21,0,44,NA,39,32,NA,50,31,0,60,45,37,NA,NA,NA,NA,NA,0,44,NA,NA,NA,29,38,0,NA,21,NA,61,44,24
US-AZ,2008-10-01,28,NA,55,NA,12,12,0,NA,NA,NA,20,17,40,NA,30,20,NA,67,32,0,73,41,26,NA,NA,NA,NA,NA,0,37,NA,NA,NA,0,12,35,NA,0,NA,29,34,16
US-AZ,2008-11-01,71,NA,61,NA,24,13,0,NA,NA,NA,22,0,57,NA,25,17,NA,28,29,0,72,25,28,NA,NA,NA,NA,NA,0,45,NA,NA,NA,30,13,19,NA,22,NA,29,40,18
US-AZ,2008-12-01,52,NA,0,NA,28,19,0,NA,NA,NA,22,0,41,NA,22,38,NA,27,32,0,64,26,27,NA,NA,NA,NA,NA,0,32,NA,NA,NA,0,0,0,NA,0,NA,33,24,19
US-AZ,2009-01-01,29,NA,0,NA,24,24,0,NA,NA,NA,0,18,48,NA,35,41,NA,35,33,0,72,16,14,NA,NA,NA,NA,NA,0,36,NA,NA,NA,0,0,18,NA,20,NA,43,37,25
US-AZ,2009-02-01,32,NA,0,NA,28,12,0,NA,NA,NA,0,19,56,NA,34,32,NA,32,36,0,72,25,22,NA,NA,NA,NA,NA,0,47,NA,NA,NA,0,0,19,NA,21,NA,36,35,21
US-AZ,2009-03-01,74,NA,53,NA,25,17,0,NA,NA,NA,20,0,50,NA,53,34,NA,65,42,0,79,53,38,NA,NA,NA,NA,NA,0,39,NA,NA,NA,53,11,17,NA,19,NA,41,44,23
US-AZ,2009-04-01,54,NA,0,NA,34,11,57,NA,NA,NA,19,17,57,NA,41,24,NA,41,45,0,92,54,42,NA,NA,NA,NA,NA,0,44,NA,NA,NA,0,11,17,NA,38,NA,48,47,27
US-AZ,2009-05-01,28,NA,0,NA,38,12,0,NA,NA,NA,27,18,45,NA,61,25,NA,29,43,0,75,56,42,NA,NA,NA,NA,NA,0,48,NA,NA,NA,0,12,0,NA,19,NA,56,38,32
US-AZ,2009-06-01,41,NA,0,NA,75,48,62,NA,NA,NA,21,18,41,NA,75,57,NA,79,40,0,89,35,39,NA,NA,NA,NA,NA,0,52,NA,NA,NA,28,0,0,NA,41,NA,45,53,27
US-AZ,2009-07-01,36,NA,0,NA,65,35,60,NA,NA,NA,61,18,41,NA,68,50,NA,64,42,0,93,61,47,NA,NA,NA,NA,NA,0,50,NA,NA,NA,0,0,0,NA,0,NA,49,56,28
US-AZ,2009-08-01,39,NA,0,NA,40,23,0,NA,NA,NA,20,0,42,NA,55,34,NA,33,33,0,100,51,42,NA,NA,NA,NA,NA,0,47,NA,NA,NA,26,23,0,NA,19,NA,58,44,25
US-AZ,2009-09-01,31,NA,0,NA,39,17,0,NA,NA,NA,38,17,55,NA,40,36,NA,45,34,0,79,34,33,NA,NA,NA,NA,NA,0,54,NA,NA,NA,0,17,17,NA,19,NA,40,47,25
US-AZ,2009-10-01,11,NA,0,NA,16,0,0,NA,NA,NA,37,0,69,NA,29,49,NA,31,40,0,75,45,22,NA,NA,NA,NA,NA,0,50,NA,NA,NA,25,11,16,NA,36,NA,44,50,26
US-AZ,2009-11-01,23,NA,0,NA,21,11,0,NA,NA,NA,29,17,61,NA,23,24,NA,66,33,0,72,42,43,NA,NA,NA,NA,NA,0,43,NA,NA,NA,26,11,0,NA,19,NA,69,37,23
US-AZ,2009-12-01,50,NA,53,NA,28,22,0,NA,NA,NA,19,0,41,NA,27,48,NA,36,42,0,60,31,26,NA,NA,NA,NA,NA,0,39,NA,NA,NA,0,0,0,NA,19,NA,77,40,15
US-AZ,2010-01-01,27,NA,0,NA,24,16,0,NA,NA,NA,18,16,47,NA,28,32,NA,70,33,0,82,18,6,NA,NA,NA,NA,NA,0,38,NA,NA,NA,24,16,0,NA,0,NA,95,40,20
US-AZ,2010-02-01,23,NA,0,NA,33,11,0,NA,NA,NA,19,0,56,NA,42,28,NA,71,48,42,71,56,31,NA,NA,NA,NA,NA,0,36,NA,NA,NA,0,11,0,NA,18,NA,68,39,28
US-AZ,2010-03-01,17,NA,96,NA,36,20,0,NA,NA,NA,26,31,47,NA,39,52,NA,77,36,0,81,35,26,NA,NA,NA,NA,NA,0,60,NA,NA,NA,24,10,15,NA,34,NA,46,41,29
US-AZ,2010-04-01,36,NA,49,NA,36,15,0,NA,NA,NA,27,16,57,NA,49,44,NA,71,35,0,79,51,36,NA,NA,NA,NA,NA,0,46,NA,NA,NA,36,10,16,NA,35,NA,73,48,18
US-AZ,2010-05-01,15,NA,0,NA,35,66,0,NA,NA,NA,19,0,62,NA,65,37,NA,44,37,0,67,33,50,NA,NA,NA,NA,NA,41,59,NA,NA,NA,0,28,0,NA,24,NA,53,57,20
US-AZ,2010-06-01,23,NA,0,NA,42,23,0,NA,NA,NA,45,34,40,NA,91,58,NA,49,45,43,89,62,47,NA,NA,NA,NA,NA,0,57,NA,NA,NA,79,23,17,NA,75,NA,87,46,31
US-AZ,2010-07-01,26,NA,51,NA,59,49,0,NA,NA,NA,56,16,52,NA,88,62,NA,59,49,41,94,50,41,NA,NA,NA,NA,NA,0,61,NA,NA,NA,100,11,0,NA,18,NA,57,44,15
US-AZ,2010-08-01,21,NA,0,NA,33,31,52,NA,NA,NA,0,15,45,NA,53,61,NA,78,39,0,73,44,41,NA,NA,NA,NA,NA,0,59,NA,NA,NA,0,10,0,NA,17,NA,57,60,17
US-AZ,2010-09-01,36,NA,47,NA,37,20,0,NA,NA,NA,43,15,51,NA,44,47,NA,87,22,0,65,55,33,NA,NA,NA,NA,NA,0,48,NA,NA,NA,23,40,0,NA,22,NA,63,52,18
US-AZ,2010-10-01,10,NA,0,NA,32,20,100,NA,NA,NA,50,15,60,NA,36,54,NA,57,49,37,63,32,39,NA,NA,NA,NA,NA,0,51,NA,NA,NA,0,10,15,NA,16,NA,57,51,20
US-AZ,2010-11-01,10,NA,0,NA,10,15,0,NA,NA,NA,17,22,59,NA,36,19,NA,46,42,37,68,43,30,NA,NA,NA,NA,NA,0,52,NA,NA,NA,23,10,15,NA,16,NA,46,58,18
US-AZ,2010-12-01,10,NA,46,NA,27,20,0,NA,NA,NA,0,0,47,NA,31,29,NA,64,43,37,51,37,26,NA,NA,NA,NA,NA,0,37,NA,NA,NA,23,10,15,NA,16,NA,36,46,22
US-AZ,2011-01-01,22,NA,0,NA,31,6,0,NA,NA,NA,15,9,56,NA,37,25,NA,48,38,22,64,28,19,NA,NA,NA,NA,NA,21,46,NA,NA,NA,20,6,9,NA,32,NA,53,48,31
US-AZ,2011-02-01,15,NA,29,NA,21,39,30,NA,NA,NA,14,9,82,NA,47,16,NA,66,41,23,68,33,26,NA,NA,NA,NA,NA,0,60,NA,NA,NA,14,12,9,NA,15,NA,46,48,30
US-AZ,2011-03-01,17,NA,0,NA,27,24,55,NA,NA,NA,19,0,64,NA,51,42,NA,45,37,21,58,30,25,NA,NA,NA,NA,NA,20,55,NA,NA,NA,13,16,8,NA,14,NA,29,56,31
US-AZ,2011-04-01,48,NA,26,NA,36,11,28,NA,NA,NA,14,0,58,NA,53,21,NA,64,37,0,55,38,33,NA,NA,NA,NA,NA,21,55,NA,NA,NA,13,6,8,NA,23,NA,36,55,36
US-AZ,2011-05-01,34,NA,25,NA,29,16,0,NA,NA,NA,18,24,51,NA,62,25,NA,65,32,0,65,52,38,NA,NA,NA,NA,NA,0,53,NA,NA,NA,0,11,0,NA,18,NA,54,60,22
US-AZ,2011-06-01,27,NA,0,NA,46,17,0,NA,NA,NA,26,9,52,NA,72,17,NA,62,38,0,76,53,41,NA,NA,NA,NA,NA,0,69,NA,NA,NA,13,17,9,NA,19,NA,75,61,26
US-AZ,2011-07-01,39,NA,57,NA,37,18,0,NA,NA,NA,26,9,64,NA,73,18,NA,58,34,0,82,39,47,NA,NA,NA,NA,NA,23,72,NA,NA,NA,14,6,9,NA,13,NA,63,60,16
US-AZ,2011-08-01,41,NA,0,NA,26,24,0,NA,NA,NA,14,8,55,NA,57,33,NA,59,37,0,75,43,41,NA,NA,NA,NA,NA,0,65,NA,NA,NA,13,17,0,NA,12,NA,69,55,18
US-AZ,2011-09-01,37,NA,53,NA,27,17,0,NA,NA,NA,22,8,62,NA,43,33,NA,75,43,0,66,40,31,NA,NA,NA,NA,NA,0,51,NA,NA,NA,26,8,17,NA,19,NA,70,49,32
US-AZ,2011-10-01,44,NA,25,NA,18,13,0,NA,NA,NA,45,11,66,NA,41,14,NA,71,40,0,69,26,30,NA,NA,NA,NA,NA,20,50,NA,NA,NA,0,8,0,NA,27,NA,73,62,33
US-AZ,2011-11-01,48,NA,0,NA,19,10,0,NA,NA,NA,21,16,61,NA,29,13,NA,67,44,0,67,27,25,NA,NA,NA,NA,NA,0,50,NA,NA,NA,0,8,8,NA,13,NA,59,55,27
US-AZ,2011-12-01,36,NA,24,NA,18,28,25,NA,NA,NA,17,10,48,NA,23,13,NA,56,34,0,53,24,28,NA,NA,NA,NA,NA,19,46,NA,NA,NA,12,5,8,NA,8,NA,34,43,29
US-AZ,2012-01-01,17,NA,0,NA,30,18,0,NA,NA,NA,13,0,55,NA,36,12,NA,78,57,0,58,23,23,NA,NA,NA,NA,NA,0,54,NA,NA,NA,11,7,7,NA,15,NA,38,49,29
US-AZ,2012-02-01,7,NA,23,NA,35,15,0,NA,NA,NA,8,7,61,NA,37,19,NA,74,56,0,70,31,31,NA,NA,NA,NA,NA,18,51,NA,NA,NA,11,10,7,NA,19,NA,29,56,37
US-AZ,2012-03-01,23,NA,21,NA,30,15,22,NA,NA,NA,8,7,66,NA,50,23,NA,53,42,0,60,39,25,NA,NA,NA,NA,NA,0,57,NA,NA,NA,21,7,0,NA,30,NA,49,52,26
US-AZ,2012-04-01,46,NA,0,NA,29,16,0,NA,NA,NA,16,10,62,NA,50,16,NA,75,54,0,70,51,45,NA,NA,NA,NA,NA,0,70,NA,NA,NA,22,14,7,NA,23,NA,50,60,31
US-AZ,2012-05-01,41,NA,22,NA,39,25,24,NA,NA,NA,26,0,58,NA,54,28,NA,70,44,0,63,40,32,NA,NA,NA,NA,NA,0,66,NA,NA,NA,11,9,0,NA,8,NA,47,61,30
US-AZ,2012-06-01,22,NA,23,NA,36,44,0,NA,NA,NA,8,7,52,NA,84,34,NA,86,54,0,65,39,40,NA,NA,NA,NA,NA,18,67,NA,NA,NA,11,5,19,NA,25,NA,59,63,29
US-AZ,2012-07-01,28,NA,23,NA,43,17,0,NA,NA,NA,33,7,52,NA,83,31,NA,76,44,18,72,43,34,NA,NA,NA,NA,NA,18,62,NA,NA,NA,22,6,7,NA,36,NA,56,59,32
US-AZ,2012-08-01,31,NA,32,NA,26,27,0,NA,NA,NA,23,7,52,NA,58,21,NA,96,57,17,63,34,41,NA,NA,NA,NA,NA,0,71,NA,NA,NA,0,8,11,NA,26,NA,59,60,40
US-AZ,2012-09-01,32,NA,0,NA,31,34,0,NA,NA,NA,18,0,54,NA,54,31,NA,63,52,16,57,36,36,NA,NA,NA,NA,NA,0,68,NA,NA,NA,10,6,19,NA,16,NA,57,67,24
US-AZ,2012-10-01,30,NA,19,NA,21,15,0,NA,NA,NA,17,13,68,NA,37,9,NA,53,48,16,53,38,30,NA,NA,NA,NA,NA,0,61,NA,NA,NA,10,11,6,NA,17,NA,52,60,24
US-AZ,2012-11-01,15,NA,21,NA,19,9,22,NA,NA,NA,15,6,54,NA,28,9,NA,63,47,0,52,30,29,NA,NA,NA,NA,NA,0,52,NA,NA,NA,20,7,6,NA,22,NA,38,60,21
US-AZ,2012-12-01,17,NA,0,NA,16,15,21,NA,NA,NA,11,8,59,NA,28,14,NA,62,44,16,50,27,28,NA,NA,NA,NA,NA,16,57,NA,NA,NA,10,7,6,NA,14,NA,29,50,19
US-AZ,2013-01-01,16,NA,17,NA,17,22,0,NA,NA,NA,8,5,71,NA,33,17,NA,66,50,0,52,26,26,NA,NA,NA,NA,NA,27,58,NA,NA,NA,21,9,14,NA,33,NA,33,58,29
US-AZ,2013-02-01,36,NA,20,NA,24,11,0,NA,NA,NA,27,6,67,NA,45,31,NA,72,51,0,52,32,27,NA,NA,NA,NA,NA,16,50,NA,NA,NA,20,6,13,NA,21,NA,39,57,46
US-AZ,2013-03-01,27,NA,0,NA,16,14,35,NA,NA,NA,34,5,60,NA,49,33,NA,48,46,0,57,41,46,NA,NA,NA,NA,NA,13,59,NA,NA,NA,12,5,5,NA,27,NA,45,61,27
US-AZ,2013-04-01,33,NA,33,NA,25,15,0,NA,NA,NA,18,5,61,NA,43,25,NA,64,51,39,56,36,30,NA,NA,NA,NA,NA,13,68,NA,NA,NA,24,5,10,NA,21,NA,43,76,26
US-AZ,2013-05-01,9,NA,17,NA,35,24,0,NA,NA,NA,17,5,62,NA,69,26,NA,67,46,14,60,40,35,NA,NA,NA,NA,NA,0,67,NA,NA,NA,25,5,9,NA,22,NA,54,73,25
US-AZ,2013-06-01,11,NA,0,NA,47,29,0,NA,NA,NA,28,6,55,NA,85,30,NA,52,56,0,69,43,41,NA,NA,NA,NA,NA,15,80,NA,NA,NA,19,5,6,NA,27,NA,66,75,28
US-AZ,2013-07-01,7,NA,0,NA,46,22,0,NA,NA,NA,9,6,53,NA,89,19,NA,66,45,15,70,51,40,NA,NA,NA,NA,NA,15,77,NA,NA,NA,9,7,0,NA,14,NA,58,71,30
US-AZ,2013-08-01,14,NA,54,NA,50,15,0,NA,NA,NA,13,6,52,NA,58,15,NA,69,52,14,70,49,42,NA,NA,NA,NA,NA,0,70,NA,NA,NA,9,6,6,NA,19,NA,52,65,32
US-AZ,2013-09-01,15,NA,19,NA,24,20,0,NA,NA,NA,14,12,56,NA,45,20,NA,58,41,0,60,46,46,NA,NA,NA,NA,NA,0,70,NA,NA,NA,18,8,12,NA,20,NA,58,69,20
US-AZ,2013-10-01,13,NA,18,NA,29,23,0,NA,NA,NA,11,11,53,NA,37,10,NA,81,53,0,61,48,44,NA,NA,NA,NA,NA,0,64,NA,NA,NA,0,0,14,NA,19,NA,52,63,27
