geo,date,geo1,49 drive in,bay water park,beach chicago,beaches in michigan,beaches in ohio,bell's palsy,black legged tick,black tick,blueberry farm,blueberry patch,buffalo state park,bullseye rash,campground colorado,centennial beach,coney island cincinnati,cooling bandana,deer tick,dollywood splash country,dorm bedding,drive in ohio,easy summer recipes,facial paralysis,family aquatic center,fantasy lake,festival colorado,festivals milwaukee,fever,free concerts,fried squash,funplex omaha,grilled squash,harvesting basil,harvesting garlic,homemade ice cream recipes,hotels near worlds of fun,island water,island water park,joint pain,kings island discount,knee pain,lake beaches,little buffalo state park,luverne drive in,lyme,lyme disease,marketfest,melody 49 drive in,motel wisconsin dells,movies in the park,music in the park,music under the stars,outdoor water parks,pick blueberries,pikes peak cog railway,pool cooler,rash,river float trips,river water park,sherwood island state park,splash country,splashdown water park,sprinkler park,summer appetizers,summer dessert,summer desserts,summer sizzler,summer soup,swollen joint,swollen joints,swollen knee,swollen knees,tick,tired,valley beach,venture river,water west,watermelon drinks,watermelon recipe,waterworld concord,waterworld denver,wetlands water park,what do baby toads eat,wild water,wild water west,wolf river campground,worlds of fun discount
US-IA,2004-11-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,45,NA,0,NA,0,NA,NA,NA,NA,NA,21,0,NA,0,NA,NA,NA,0,0,11,NA,40,NA,44,0,NA,0,0,43,NA,NA,NA,0,0,0,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,23,50,0,NA,39,NA,0,NA,NA,NA,NA,54,0,NA,NA
US-IA,2004-12-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,33,0,NA,0,NA,NA,NA,0,0,0,NA,36,NA,79,0,NA,0,39,19,NA,NA,NA,0,0,100,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,14,22,0,NA,36,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-01-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,96,NA,0,NA,NA,NA,NA,NA,47,0,NA,0,NA,NA,NA,0,0,0,NA,0,NA,53,0,NA,0,26,17,NA,NA,NA,0,0,0,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,18,20,0,NA,32,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-02-01,NA,NA,NA,32,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,42,73,NA,0,NA,NA,NA,0,0,9,NA,0,NA,53,0,NA,0,17,17,NA,NA,NA,0,0,0,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,24,39,0,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-03-01,NA,NA,NA,29,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,35,0,NA,0,NA,NA,NA,0,0,8,NA,28,NA,47,0,NA,0,38,15,NA,NA,NA,0,0,0,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,100,0,NA,NA,NA,NA,0,NA,11,35,0,NA,28,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-04-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,84,0,NA,0,NA,NA,NA,0,0,12,NA,0,NA,69,0,NA,100,17,33,NA,NA,NA,0,0,0,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,24,59,0,NA,31,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-05-01,NA,NA,NA,30,NA,NA,0,NA,NA,100,NA,NA,0,NA,NA,NA,NA,33,NA,0,NA,0,NA,NA,NA,NA,NA,39,0,NA,0,NA,NA,NA,0,62,14,NA,90,NA,0,0,NA,0,80,63,NA,NA,NA,0,0,0,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,39,0,0,NA,0,NA,80,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-06-01,NA,NA,NA,68,NA,NA,100,NA,NA,0,NA,NA,0,NA,NA,NA,NA,38,NA,0,NA,0,NA,NA,NA,NA,NA,26,0,NA,0,NA,NA,NA,0,0,29,NA,69,NA,62,35,NA,54,100,72,NA,NA,NA,0,0,0,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,25,42,75,NA,33,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-07-01,NA,NA,NA,0,NA,NA,50,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,100,NA,0,NA,NA,NA,NA,NA,36,0,NA,0,NA,NA,NA,0,0,38,NA,34,NA,37,0,NA,0,37,27,NA,NA,NA,0,0,0,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,26,21,76,NA,66,NA,0,NA,NA,NA,NA,92,55,NA,NA
US-IA,2005-08-01,NA,NA,NA,32,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,21,0,NA,0,NA,NA,NA,0,0,38,NA,47,NA,34,0,NA,50,50,17,NA,NA,NA,0,0,0,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,17,29,0,NA,61,NA,82,NA,NA,NA,NA,64,100,NA,NA
US-IA,2005-09-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,61,0,NA,0,NA,NA,NA,0,0,11,NA,27,NA,29,0,NA,0,28,14,NA,NA,NA,0,53,0,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,54,NA,10,0,0,NA,26,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-10-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,34,0,NA,0,NA,NA,NA,0,0,7,NA,25,NA,36,0,NA,0,33,40,NA,NA,NA,0,50,0,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,19,15,0,NA,24,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-11-01,NA,NA,NA,0,NA,NA,57,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,41,0,NA,0,NA,NA,NA,0,0,0,NA,43,NA,38,0,NA,0,28,27,NA,NA,NA,0,0,0,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,15,72,58,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2005-12-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,40,0,NA,0,NA,NA,NA,0,0,7,NA,25,NA,40,0,NA,0,40,27,NA,NA,NA,0,0,0,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,50,NA,19,31,0,NA,25,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2006-01-01,NA,NA,NA,0,NA,NA,32,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,40,0,NA,0,NA,NA,NA,56,0,6,NA,66,NA,40,0,NA,0,24,29,NA,NA,NA,0,0,0,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,16,47,0,NA,32,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2006-02-01,NA,NA,NA,22,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,24,NA,0,NA,0,NA,NA,NA,NA,NA,36,0,NA,0,NA,NA,NA,56,0,6,NA,22,NA,59,0,NA,0,18,17,NA,NA,NA,0,43,0,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,8,40,0,NA,21,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2006-03-01,NA,NA,NA,19,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,22,NA,0,NA,0,NA,NA,NA,NA,NA,47,0,NA,46,NA,NA,NA,0,41,11,NA,19,NA,35,0,NA,0,31,10,NA,NA,NA,0,0,0,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,7,12,0,NA,0,NA,0,NA,NA,NA,NA,26,31,NA,NA
US-IA,2006-04-01,NA,NA,NA,21,NA,NA,30,NA,NA,0,NA,NA,0,NA,NA,NA,NA,23,NA,0,NA,66,NA,NA,NA,NA,NA,52,0,NA,0,NA,NA,NA,0,0,12,NA,21,NA,68,21,NA,0,22,11,NA,NA,NA,0,0,0,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,31,38,0,NA,20,NA,0,NA,NA,NA,NA,0,33,NA,NA
US-IA,2006-05-01,NA,NA,NA,21,NA,NA,30,NA,NA,0,NA,NA,0,NA,NA,NA,NA,23,NA,61,NA,67,NA,NA,NA,NA,NA,44,0,NA,0,NA,NA,NA,53,0,18,NA,42,NA,45,0,NA,0,44,33,NA,NA,NA,0,0,56,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,39,38,46,NA,40,NA,55,NA,NA,NA,NA,42,33,NA,NA
US-IA,2006-06-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,27,NA,0,NA,77,NA,NA,NA,NA,NA,31,55,NA,58,NA,NA,NA,61,100,38,NA,36,NA,44,24,NA,38,51,63,NA,NA,NA,100,0,0,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,36,15,0,NA,82,NA,0,NA,NA,NA,NA,48,76,NA,NA
US-IA,2006-07-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,37,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,28,53,NA,55,NA,NA,NA,0,0,47,NA,23,NA,25,0,NA,0,55,32,NA,NA,NA,0,0,0,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,0,100,NA,NA,NA,NA,47,NA,34,14,50,NA,67,NA,0,NA,NA,NA,NA,93,55,NA,NA
US-IA,2006-08-01,NA,NA,NA,0,NA,NA,29,NA,NA,0,NA,NA,0,NA,NA,NA,NA,67,NA,0,NA,0,NA,NA,NA,NA,NA,32,0,NA,48,NA,NA,NA,0,42,23,NA,0,NA,58,0,NA,0,16,18,NA,NA,NA,0,0,0,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,26,25,0,NA,39,NA,0,NA,NA,NA,NA,27,32,NA,NA
US-IA,2006-09-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,27,0,NA,0,NA,NA,NA,48,39,5,NA,19,NA,27,0,NA,30,20,17,NA,NA,NA,0,0,0,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,25,17,0,NA,55,NA,50,NA,NA,NA,NA,25,0,NA,NA
US-IA,2006-10-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,19,NA,0,NA,0,NA,NA,NA,NA,NA,44,39,NA,0,NA,NA,NA,0,0,7,NA,17,NA,0,0,NA,0,18,13,NA,NA,NA,0,0,0,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,16,21,0,NA,17,NA,0,NA,NA,NA,NA,23,0,NA,NA
US-IA,2006-11-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,35,0,NA,0,NA,NA,NA,44,0,5,NA,17,NA,28,0,NA,0,14,27,NA,NA,NA,0,0,0,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,19,32,0,NA,17,NA,0,NA,NA,NA,NA,24,0,NA,NA
US-IA,2006-12-01,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,47,40,NA,0,NA,NA,NA,0,0,7,NA,18,NA,19,0,NA,0,29,9,NA,NA,NA,0,0,0,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,7,11,0,NA,44,NA,0,NA,NA,NA,NA,24,0,NA,NA
US-IA,2007-01-01,NA,NA,NA,0,NA,NA,45,NA,NA,0,NA,NA,0,NA,NA,NA,NA,17,NA,0,NA,0,NA,NA,NA,NA,NA,41,0,NA,0,NA,NA,NA,0,0,9,NA,16,NA,45,0,NA,0,25,16,NA,NA,NA,0,31,0,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,12,24,0,NA,15,NA,0,NA,NA,NA,NA,21,0,NA,NA
US-IA,2007-02-01,NA,NA,NA,0,NA,NA,23,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,45,0,NA,0,NA,NA,NA,40,0,4,NA,32,NA,35,0,NA,0,17,21,NA,NA,NA,0,0,0,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,6,10,35,NA,15,NA,42,NA,NA,NA,NA,0,25,NA,NA
US-IA,2007-03-01,NA,NA,NA,15,NA,NA,21,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,45,0,NA,0,NA,NA,NA,0,0,8,NA,25,NA,48,30,NA,0,24,16,NA,NA,NA,0,0,0,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,33,27,33,NA,14,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2007-04-01,NA,NA,NA,30,NA,NA,21,NA,NA,0,NA,NA,0,NA,NA,NA,NA,16,NA,0,NA,0,NA,NA,NA,NA,NA,31,0,NA,0,NA,NA,NA,0,0,8,NA,15,NA,43,0,NA,0,16,23,NA,NA,NA,0,29,0,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,11,18,0,NA,24,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2007-05-01,NA,NA,NA,14,NA,NA,21,NA,NA,0,NA,NA,0,NA,NA,NA,NA,43,NA,0,NA,0,NA,NA,NA,NA,NA,40,0,NA,0,NA,NA,NA,0,0,17,NA,29,NA,31,14,NA,0,61,45,NA,NA,NA,60,57,0,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,70,13,32,NA,35,NA,0,NA,NA,NA,NA,19,23,NA,NA
US-IA,2007-06-01,NA,NA,NA,25,NA,NA,24,NA,NA,0,NA,NA,0,NA,NA,NA,NA,18,NA,49,NA,53,NA,NA,NA,NA,NA,34,38,NA,0,NA,NA,NA,0,0,38,NA,49,NA,30,0,NA,26,57,58,NA,NA,NA,0,33,0,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,52,30,37,NA,75,NA,0,NA,NA,NA,NA,74,79,NA,NA
US-IA,2007-07-01,NA,NA,NA,24,NA,NA,0,NA,NA,0,NA,NA,25,NA,NA,NA,NA,26,NA,0,NA,100,NA,NA,NA,NA,NA,29,36,NA,0,NA,NA,NA,60,33,70,NA,0,NA,34,0,NA,50,64,36,NA,NA,NA,67,32,0,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,30,29,35,NA,46,NA,63,NA,NA,NA,NA,29,25,NA,NA
US-IA,2007-08-01,NA,NA,NA,15,NA,NA,21,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,35,0,NA,0,NA,NA,NA,0,0,31,NA,14,NA,31,22,NA,0,39,15,NA,NA,NA,0,0,0,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,16,31,32,NA,42,NA,0,NA,NA,NA,NA,29,34,NA,NA
US-IA,2007-09-01,NA,NA,NA,21,NA,NA,30,NA,NA,0,NA,NA,45,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,46,0,NA,0,NA,NA,NA,0,0,6,NA,23,NA,30,0,NA,0,41,44,NA,NA,NA,0,0,0,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,13,30,0,NA,32,NA,56,NA,NA,NA,NA,19,0,NA,NA
US-IA,2007-10-01,NA,NA,NA,12,NA,NA,18,NA,NA,0,NA,NA,0,NA,NA,NA,NA,14,NA,0,NA,0,NA,NA,NA,NA,NA,38,28,NA,0,NA,NA,NA,0,0,5,NA,20,NA,36,0,NA,0,20,11,NA,NA,NA,0,24,0,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,18,41,27,NA,30,NA,0,NA,NA,NA,NA,17,0,NA,NA
US-IA,2007-11-01,NA,NA,NA,12,NA,NA,18,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,42,0,NA,0,NA,NA,NA,0,26,3,NA,29,NA,41,0,NA,0,17,13,NA,NA,NA,0,0,0,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,26,NA,16,35,0,NA,18,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2007-12-01,NA,NA,NA,0,NA,NA,38,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,39,NA,0,NA,NA,NA,NA,NA,41,0,NA,0,NA,NA,NA,0,0,4,NA,32,NA,36,0,NA,0,18,18,NA,NA,NA,0,0,0,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,7,32,0,NA,19,NA,0,NA,NA,NA,NA,18,0,NA,NA
US-IA,2008-01-01,NA,NA,NA,12,NA,NA,17,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,49,27,NA,0,NA,NA,NA,0,0,7,NA,18,NA,47,0,NA,0,16,9,NA,NA,NA,0,0,0,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,22,18,0,NA,27,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2008-02-01,NA,NA,NA,12,NA,NA,17,NA,NA,0,NA,NA,0,NA,NA,NA,NA,13,NA,0,NA,0,NA,NA,NA,NA,NA,42,0,NA,0,NA,NA,NA,0,0,3,NA,19,NA,13,0,NA,0,0,6,NA,NA,NA,0,23,0,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,9,29,26,NA,23,NA,0,NA,NA,NA,NA,0,0,NA,NA
US-IA,2008-03-01,NA,NA,NA,12,NA,NA,17,NA,NA,0,NA,NA,0,NA,NA,NA,NA,13,NA,0,NA,0,NA,NA,NA,NA,NA,50,0,NA,0,NA,NA,NA,0,0,3,NA,23,NA,13,12,NA,0,19,10,NA,NA,NA,0,0,0,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,9,29,39,NA,23,NA,0,NA,NA,NA,NA,16,0,NA,NA
US-IA,2008-04-01,NA,NA,NA,22,NA,NA,16,NA,NA,0,NA,NA,17,NA,NA,NA,NA,18,NA,0,NA,0,NA,NA,NA,NA,NA,51,0,NA,0,NA,NA,NA,0,22,15,NA,16,NA,23,0,NA,0,14,17,NA,NA,NA,45,0,0,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,22,NA,16,20,0,NA,31,NA,28,NA,NA,NA,NA,0,0,NA,NA
US-IA,2008-05-01,NA,NA,NA,12,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,31,NA,35,NA,0,NA,NA,NA,NA,NA,37,27,NA,0,NA,NA,NA,30,24,13,NA,16,NA,21,0,NA,0,57,43,NA,NA,NA,0,0,0,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,41,0,NA,NA,NA,NA,0,NA,40,36,26,NA,58,NA,31,NA,NA,NA,NA,0,19,NA,NA
