geo,date,alabama water park,alabama water parks,alive at five,amc free,amc free movies,asheboro copperheads,auburn water park,bag toss,baking soda pool,baler,baler parts,banzai water,bell's palsy,black legged tick,black tick,blue bayou,blue bayou in baton rouge,bullseye rash,cast cover,clear pool water,cloudy pool,cloudy pool water,coastal plains league,danville dans,deer tick,diamond devils,east cobb baseball,easy camp,elite camp,facial paralysis,fayetteville swampdogs,fever,free summer kids movies,free summer movie,fun days,green pool,green pool water,haier air,hay rake,herndon braves,intex,intex pool cover,intex pumps,joint pain,knee pain,lyme,lyme disease,martinsville mustangs,nycbl,pa pool,palmetto falls,park pools,point mallard,pool rope,pool supply stores,pool times,quick set pool,rash,springtails,summer books,summer family fun,summer movie camp,summer things,summer things to do,summertime songs,swampdogs,swim shirts,swollen joint,swollen joints,swollen knee,swollen knees,tick,tired,top summer songs,us club,valley beach,wilmington sharks,wilson tobs,wood bat,wood bat tournament
US-AL,2004-11-01,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,25,NA,0,0,0,NA,NA,0,NA,0,NA,NA,55,50,32,56,NA,NA,NA,NA,NA,14,NA,NA,0,0,24,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,29,49,NA,0,0,NA,NA,100,NA
US-AL,2004-12-01,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,36,NA,0,0,0,NA,NA,0,NA,0,NA,NA,97,0,43,0,NA,NA,NA,NA,NA,13,NA,NA,0,0,15,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,32,0,NA,39,18,NA,NA,0,NA
US-AL,2005-01-01,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,38,NA,0,0,0,NA,NA,0,NA,0,NA,NA,42,39,0,58,NA,NA,NA,NA,NA,11,NA,NA,0,0,25,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,27,28,NA,33,0,NA,NA,0,NA
US-AL,2005-02-01,0,0,NA,76,NA,NA,0,0,0,0,NA,0,38,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,37,NA,0,0,0,NA,NA,0,NA,0,NA,NA,0,0,42,45,NA,NA,NA,NA,NA,11,NA,NA,0,0,33,0,0,NA,NA,0,0,NA,NA,100,NA,NA,0,NA,34,29,NA,35,0,NA,NA,0,NA
US-AL,2005-03-01,23,31,NA,0,NA,NA,0,0,0,50,NA,0,0,NA,0,0,0,0,100,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,48,NA,0,0,0,NA,NA,0,NA,23,NA,NA,39,0,67,26,NA,NA,NA,NA,NA,20,NA,NA,0,0,29,0,49,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,16,52,NA,0,14,NA,NA,0,NA
US-AL,2005-04-01,50,0,NA,0,NA,NA,0,0,0,0,NA,68,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,43,NA,0,0,0,NA,NA,0,NA,25,NA,NA,42,0,50,58,NA,NA,NA,NA,NA,17,NA,NA,0,0,30,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,18,57,NA,34,15,NA,NA,0,NA
US-AL,2005-05-01,23,32,NA,0,NA,NA,0,0,0,51,NA,0,35,NA,0,67,0,0,0,0,67,52,NA,NA,0,NA,100,NA,NA,NA,NA,46,NA,0,0,46,NA,NA,0,NA,24,NA,NA,100,0,54,96,NA,NA,NA,NA,NA,28,NA,NA,0,0,26,0,100,NA,NA,0,0,NA,NA,92,NA,NA,100,NA,50,18,NA,0,14,NA,NA,0,NA
US-AL,2005-06-01,46,47,NA,0,NA,NA,65,100,0,0,NA,62,34,NA,0,0,0,100,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,31,NA,70,0,0,NA,NA,0,NA,23,NA,NA,79,36,23,41,NA,NA,NA,NA,NA,55,NA,NA,0,0,35,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,42,18,NA,47,21,NA,NA,0,NA
US-AL,2005-07-01,37,77,NA,0,NA,NA,0,0,0,50,NA,0,0,NA,0,0,0,0,0,0,65,100,NA,NA,0,NA,99,NA,NA,NA,NA,30,NA,0,0,45,NA,NA,0,NA,23,NA,NA,39,36,75,80,NA,NA,NA,NA,NA,71,NA,NA,0,0,55,0,49,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,31,52,NA,61,32,NA,NA,71,NA
US-AL,2005-08-01,0,0,NA,0,NA,NA,61,0,0,46,NA,0,32,NA,0,0,0,0,92,0,91,0,NA,NA,0,NA,0,NA,NA,NA,NA,38,NA,0,0,0,NA,NA,0,NA,43,NA,NA,0,67,35,58,NA,NA,NA,NA,NA,25,NA,NA,0,0,21,100,0,NA,NA,0,0,NA,NA,0,NA,NA,90,NA,27,32,NA,57,32,NA,NA,0,NA
US-AL,2005-09-01,19,0,NA,0,NA,NA,55,0,0,0,NA,0,29,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,45,NA,0,0,39,NA,NA,0,NA,0,NA,NA,66,0,32,34,NA,NA,NA,NA,NA,17,NA,NA,0,0,25,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,17,29,NA,52,0,NA,NA,0,NA
US-AL,2005-10-01,0,0,NA,0,NA,NA,0,0,0,41,NA,0,55,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,42,NA,0,0,0,NA,NA,0,NA,19,NA,NA,32,29,25,36,NA,NA,NA,NA,NA,8,NA,NA,0,0,41,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,15,42,NA,0,0,NA,NA,0,NA
US-AL,2005-11-01,0,0,NA,0,NA,NA,0,0,0,42,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,40,NA,0,0,0,NA,NA,0,NA,19,NA,NA,32,89,25,29,NA,NA,NA,NA,NA,8,NA,NA,0,0,23,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,15,29,NA,25,0,NA,NA,0,NA
US-AL,2005-12-01,0,0,NA,0,NA,NA,0,0,0,0,NA,0,27,NA,0,54,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,39,NA,0,0,0,NA,NA,0,NA,0,NA,NA,31,29,0,0,NA,NA,NA,NA,NA,8,NA,NA,0,0,22,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,20,28,NA,25,0,NA,NA,57,NA
US-AL,2006-01-01,0,0,NA,0,NA,NA,0,0,0,70,NA,0,24,NA,0,0,0,0,0,0,0,0,NA,NA,43,NA,0,NA,NA,NA,NA,19,NA,0,0,0,NA,NA,0,NA,0,NA,NA,27,25,16,19,NA,NA,NA,NA,NA,12,NA,NA,0,0,24,0,0,NA,NA,0,0,NA,NA,62,NA,NA,0,NA,26,48,NA,0,0,NA,NA,0,NA
US-AL,2006-02-01,16,0,NA,0,NA,NA,0,0,0,0,NA,0,24,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,28,NA,0,0,0,NA,NA,0,NA,16,NA,NA,55,64,32,38,NA,NA,NA,NA,NA,7,NA,NA,0,0,39,0,36,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,21,19,NA,22,0,NA,NA,0,NA
US-AL,2006-03-01,15,20,NA,0,NA,NA,0,0,0,33,NA,0,0,NA,0,0,0,0,0,0,0,33,NA,NA,0,NA,0,NA,NA,NA,NA,42,NA,0,0,0,NA,NA,0,NA,15,NA,NA,26,47,50,23,NA,NA,NA,NA,NA,0,NA,NA,0,0,30,0,65,NA,NA,0,0,NA,NA,59,NA,NA,0,NA,27,23,NA,31,18,NA,NA,0,NA
US-AL,2006-04-01,15,0,NA,0,NA,NA,44,0,0,0,NA,0,23,NA,98,0,0,0,0,100,0,0,NA,NA,0,NA,67,NA,NA,NA,NA,30,NA,0,0,31,NA,NA,0,NA,23,NA,NA,52,0,53,36,NA,NA,NA,NA,NA,14,NA,NA,0,0,28,72,33,NA,NA,0,0,NA,NA,60,NA,NA,0,NA,33,46,NA,31,9,NA,NA,0,NA
US-AL,2006-05-01,15,20,NA,0,NA,NA,0,64,0,33,NA,41,22,NA,0,44,0,0,65,0,43,33,NA,NA,0,NA,0,NA,NA,NA,NA,37,NA,0,0,30,NA,NA,0,NA,25,NA,NA,59,35,49,58,NA,NA,NA,NA,NA,29,NA,NA,0,0,43,0,0,NA,NA,0,0,NA,NA,0,NA,NA,64,NA,43,28,NA,27,15,NA,NA,47,NA
US-AL,2006-06-01,31,64,NA,0,NA,NA,0,0,0,34,NA,42,23,NA,100,45,0,0,0,0,44,68,NA,NA,42,NA,0,NA,NA,NA,NA,35,NA,0,0,31,NA,NA,45,NA,37,NA,NA,40,24,51,36,NA,NA,NA,NA,NA,88,NA,NA,0,0,39,73,34,NA,NA,89,40,NA,NA,0,NA,NA,66,NA,34,24,NA,31,38,NA,NA,49,NA
US-AL,2006-07-01,51,61,NA,0,NA,NA,84,63,0,0,NA,0,22,NA,0,0,0,0,0,0,42,0,NA,NA,0,NA,0,NA,NA,NA,NA,37,NA,0,0,0,NA,NA,0,NA,67,NA,NA,38,70,59,58,NA,NA,NA,NA,NA,93,NA,NA,0,0,31,0,32,NA,NA,0,38,NA,NA,0,NA,NA,0,NA,40,11,NA,20,39,NA,NA,0,NA
US-AL,2006-08-01,30,54,NA,39,NA,NA,75,56,100,44,NA,0,39,NA,84,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,45,NA,0,0,0,NA,NA,38,NA,13,NA,NA,22,31,35,26,NA,NA,NA,NA,NA,22,NA,NA,35,0,20,0,29,NA,NA,0,0,NA,NA,0,NA,NA,57,NA,33,10,NA,0,22,NA,NA,0,NA
US-AL,2006-09-01,19,0,NA,0,NA,NA,37,0,0,29,NA,0,20,NA,0,38,0,0,57,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,31,NA,0,0,0,NA,NA,0,NA,18,NA,NA,44,21,65,39,NA,NA,NA,NA,NA,9,NA,NA,36,0,24,0,29,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,14,20,NA,18,0,NA,NA,0,NA
US-AL,2006-10-01,0,0,NA,0,NA,NA,35,0,0,27,NA,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,32,NA,0,0,0,NA,NA,0,NA,12,NA,NA,31,38,24,22,NA,NA,NA,NA,NA,7,NA,NA,33,0,31,58,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,23,33,NA,17,7,NA,NA,0,NA
US-AL,2006-11-01,0,0,NA,0,NA,NA,0,0,0,27,NA,0,24,NA,0,0,0,0,0,0,0,0,NA,NA,33,NA,0,NA,NA,NA,NA,32,NA,0,0,0,NA,NA,0,NA,0,NA,NA,21,48,24,50,NA,NA,NA,NA,NA,6,NA,NA,0,0,25,0,27,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,24,28,NA,17,0,NA,NA,39,NA
US-AL,2006-12-01,0,0,NA,0,NA,NA,0,0,0,0,NA,0,19,NA,0,0,0,53,54,0,0,0,NA,NA,0,NA,54,NA,NA,NA,NA,37,NA,0,0,0,NA,NA,0,NA,0,NA,NA,53,29,33,24,NA,NA,NA,NA,NA,7,NA,NA,0,0,22,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,25,19,NA,0,8,NA,NA,0,NA
US-AL,2007-01-01,0,0,NA,0,NA,NA,0,45,0,47,NA,0,32,NA,0,0,0,0,0,0,0,0,NA,NA,29,NA,0,NA,NA,NA,NA,39,NA,0,0,0,NA,NA,0,NA,11,NA,NA,48,33,37,37,NA,NA,NA,NA,NA,11,NA,NA,0,0,27,0,23,NA,NA,0,0,NA,NA,0,NA,NA,46,NA,15,20,NA,22,0,NA,NA,0,NA
US-AL,2007-02-01,11,15,NA,0,NA,NA,0,0,0,0,NA,30,24,NA,0,0,0,0,48,0,0,0,NA,NA,0,NA,47,NA,NA,NA,NA,43,NA,0,97,22,NA,NA,0,NA,11,NA,NA,37,17,25,21,NA,NA,NA,NA,NA,8,NA,NA,0,0,33,0,24,NA,NA,0,0,NA,NA,42,NA,NA,0,NA,14,33,NA,15,10,NA,NA,0,NA
US-AL,2007-03-01,30,28,NA,0,NA,NA,0,0,0,22,NA,28,0,NA,0,30,0,0,0,0,0,0,NA,NA,28,NA,0,NA,NA,NA,NA,50,NA,0,0,20,NA,NA,29,NA,10,NA,NA,29,16,23,24,NA,NA,NA,NA,NA,17,NA,NA,0,0,23,48,0,NA,NA,0,0,NA,NA,39,NA,NA,0,NA,20,38,NA,27,12,NA,NA,0,NA
US-AL,2007-04-01,19,14,NA,0,NA,NA,42,0,0,22,NA,0,29,NA,0,58,0,0,43,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,44,NA,0,0,0,NA,NA,0,NA,13,NA,NA,34,39,29,23,NA,NA,NA,NA,NA,15,NA,NA,0,0,25,0,0,NA,NA,28,0,NA,NA,0,NA,NA,43,NA,34,19,NA,27,6,NA,NA,0,NA
US-AL,2007-05-01,24,30,NA,0,NA,NA,27,40,71,62,NA,59,28,NA,59,54,0,0,41,0,40,21,NA,NA,51,NA,41,NA,NA,NA,NA,33,NA,0,0,0,NA,NA,27,NA,31,NA,NA,80,29,58,51,NA,NA,NA,NA,NA,57,NA,NA,0,0,36,0,0,NA,NA,0,0,NA,NA,0,NA,NA,40,NA,59,21,NA,25,21,NA,NA,29,NA
US-AL,2007-06-01,65,54,NA,0,NA,NA,85,0,75,22,NA,27,15,NA,64,68,0,0,43,65,57,44,NA,NA,0,NA,43,NA,NA,NA,NA,50,NA,0,0,20,NA,NA,29,NA,50,NA,NA,45,47,33,50,NA,NA,NA,NA,NA,64,NA,NA,0,0,37,0,22,NA,NA,0,0,NA,NA,0,NA,NA,43,NA,45,19,NA,27,55,NA,NA,63,NA
US-AL,2007-07-01,52,30,NA,0,NA,NA,53,0,0,0,NA,25,21,NA,0,36,100,0,0,0,27,21,NA,NA,0,NA,0,NA,NA,NA,NA,33,NA,0,0,38,NA,NA,0,NA,31,NA,NA,37,44,49,36,NA,NA,NA,NA,NA,86,NA,NA,0,0,34,0,20,NA,NA,27,24,NA,NA,0,NA,NA,0,NA,52,7,NA,12,40,NA,NA,44,NA
US-AL,2007-08-01,29,40,NA,0,NA,NA,98,0,0,19,NA,0,13,NA,0,51,0,0,0,56,25,19,NA,NA,0,NA,0,NA,NA,NA,NA,36,NA,0,0,18,NA,NA,25,NA,13,NA,NA,30,27,55,58,NA,NA,NA,NA,NA,49,NA,NA,0,0,42,41,19,NA,NA,25,22,NA,NA,0,NA,NA,0,NA,27,46,NA,12,23,NA,NA,0,NA
US-AL,2007-09-01,0,0,NA,0,NA,NA,25,38,67,20,NA,0,20,NA,0,0,0,0,0,0,0,0,NA,NA,24,NA,0,NA,NA,NA,NA,43,NA,0,0,18,NA,NA,0,NA,12,NA,NA,46,14,18,21,NA,NA,NA,NA,NA,7,NA,NA,24,0,32,0,19,NA,NA,0,0,NA,NA,0,NA,NA,39,NA,26,41,NA,12,5,NA,NA,28,NA
US-AL,2007-10-01,8,0,NA,0,NA,NA,0,35,0,18,NA,22,24,NA,0,24,0,0,0,0,24,0,NA,NA,0,NA,0,NA,NA,NA,NA,41,NA,0,0,0,NA,NA,0,NA,8,NA,NA,23,26,33,26,NA,NA,NA,NA,NA,7,NA,NA,0,0,31,39,0,NA,NA,0,0,NA,NA,0,NA,NA,35,NA,18,25,NA,11,0,NA,NA,0,NA
US-AL,2007-11-01,8,0,NA,0,NA,NA,0,0,0,37,NA,0,19,NA,0,0,0,0,37,0,0,0,NA,NA,0,NA,36,NA,NA,NA,NA,47,NA,0,0,0,NA,NA,24,NA,0,NA,NA,43,39,41,26,NA,NA,NA,NA,NA,7,NA,NA,0,0,36,0,0,NA,NA,24,0,NA,NA,0,NA,NA,0,NA,21,25,NA,30,5,NA,NA,0,NA
US-AL,2007-12-01,9,0,NA,26,NA,NA,0,0,0,0,NA,0,31,NA,0,26,0,0,0,0,0,0,NA,NA,0,NA,39,NA,NA,NA,NA,37,NA,0,79,0,NA,NA,0,NA,0,NA,NA,25,21,32,37,NA,NA,NA,NA,NA,6,NA,NA,0,0,28,0,0,NA,NA,0,0,NA,NA,35,NA,NA,0,NA,15,37,NA,20,5,NA,NA,28,NA
US-AL,2008-01-01,0,11,NA,0,NA,NA,0,0,0,0,NA,0,23,NA,50,0,0,0,34,0,0,0,NA,NA,21,NA,34,NA,NA,NA,NA,38,NA,0,0,0,NA,NA,0,NA,16,NA,NA,20,48,11,18,NA,NA,NA,NA,NA,14,NA,NA,0,0,36,0,34,NA,NA,0,0,NA,NA,0,NA,NA,33,NA,12,9,NA,21,5,NA,NA,24,NA
US-AL,2008-02-01,12,11,NA,0,NA,NA,0,0,0,36,NA,0,18,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,51,NA,0,0,0,NA,NA,0,NA,8,NA,NA,23,44,13,33,NA,NA,NA,NA,NA,8,NA,NA,0,0,31,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,17,52,NA,11,0,NA,NA,25,NA
US-AL,2008-03-01,8,11,NA,0,NA,NA,22,0,0,17,NA,21,12,NA,0,0,0,0,0,0,0,0,NA,NA,21,NA,0,NA,NA,NA,NA,40,NA,0,70,16,NA,NA,0,NA,13,NA,NA,31,24,18,27,NA,NA,NA,NA,NA,13,NA,NA,0,0,33,0,51,NA,NA,23,0,NA,NA,30,NA,NA,33,NA,27,24,NA,21,7,NA,NA,25,NA
US-AL,2008-04-01,11,10,NA,0,NA,NA,21,0,0,27,NA,0,18,NA,0,22,0,0,32,0,0,0,NA,NA,20,NA,64,NA,NA,NA,NA,34,NA,0,0,0,NA,NA,0,NA,15,NA,NA,38,52,44,29,NA,NA,NA,NA,NA,13,NA,NA,0,0,27,0,16,NA,NA,42,58,NA,NA,58,NA,NA,32,NA,28,14,NA,10,7,NA,NA,0,NA
US-AL,2008-05-01,38,26,NA,0,NA,NA,51,0,58,28,NA,42,19,NA,0,23,83,0,33,50,22,0,NA,NA,21,NA,50,NA,NA,NA,NA,35,NA,23,0,31,NA,NA,22,NA,31,NA,NA,39,24,48,39,NA,NA,NA,NA,NA,40,NA,NA,42,0,38,0,33,NA,NA,22,60,NA,NA,0,NA,NA,0,NA,42,55,NA,17,24,NA,NA,60,NA
US-AL,2008-06-01,73,56,NA,0,NA,NA,54,0,0,100,NA,22,12,NA,0,64,88,35,0,0,39,0,NA,NA,0,NA,54,NA,NA,NA,NA,43,NA,0,0,16,NA,NA,24,NA,47,NA,NA,37,32,43,58,NA,NA,NA,NA,NA,65,NA,NA,0,0,47,77,18,NA,NA,59,32,NA,NA,32,NA,NA,35,NA,40,37,NA,18,57,NA,NA,26,NA
US-AL,2008-07-01,78,73,NA,0,NA,NA,65,33,0,17,NA,0,15,NA,50,75,0,0,0,0,33,25,NA,NA,21,NA,67,NA,NA,NA,NA,37,NA,0,69,31,NA,NA,0,NA,34,NA,NA,52,78,51,51,NA,NA,NA,NA,NA,80,NA,NA,0,0,47,0,33,NA,NA,22,30,NA,NA,0,NA,NA,33,NA,43,26,NA,21,91,NA,NA,60,NA
US-AL,2008-08-01,20,10,NA,0,NA,NA,0,0,0,16,NA,20,11,NA,48,33,81,0,0,0,0,0,NA,NA,40,NA,33,NA,NA,NA,NA,30,NA,0,0,15,NA,NA,0,NA,10,NA,NA,30,47,42,35,NA,NA,NA,NA,NA,34,NA,NA,20,0,36,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,26,28,NA,10,24,NA,NA,24,NA
US-AL,2008-09-01,10,0,NA,0,NA,NA,0,0,0,46,NA,0,26,NA,0,20,0,0,0,0,0,0,NA,NA,19,NA,0,NA,NA,NA,NA,44,NA,0,63,0,NA,NA,0,NA,14,NA,NA,44,49,32,46,NA,NA,NA,NA,NA,11,NA,NA,0,0,40,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,20,37,NA,38,0,NA,NA,22,NA
US-AL,2008-10-01,6,0,NA,19,NA,NA,0,0,0,24,NA,18,15,NA,0,0,0,0,29,0,19,0,NA,NA,18,NA,0,NA,NA,NA,NA,46,NA,0,0,0,NA,NA,0,NA,7,NA,NA,22,51,15,15,NA,NA,NA,NA,NA,10,NA,NA,0,0,39,0,0,NA,NA,0,0,NA,NA,0,NA,NA,28,NA,18,32,NA,18,4,NA,NA,31,NA
US-AL,2008-11-01,7,0,NA,22,NA,NA,0,0,0,16,NA,0,16,NA,0,21,0,0,32,0,0,0,NA,NA,20,NA,0,NA,NA,NA,NA,42,NA,0,64,0,NA,NA,0,NA,11,NA,NA,25,29,41,40,NA,NA,NA,NA,NA,6,NA,NA,0,0,30,0,16,NA,NA,0,0,NA,NA,29,NA,NA,0,NA,30,39,NA,34,0,NA,NA,23,NA
US-AL,2008-12-01,7,0,NA,0,NA,NA,0,30,0,15,NA,0,14,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,56,NA,0,0,0,NA,NA,0,NA,7,NA,NA,43,38,25,27,NA,NA,NA,NA,NA,8,NA,NA,0,0,33,0,0,NA,NA,0,0,NA,NA,0,NA,NA,0,NA,26,48,NA,25,4,NA,NA,0,NA
US-AL,2009-01-01,6,9,NA,19,NA,NA,0,0,0,0,NA,0,19,NA,0,0,0,0,0,0,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,32,NA,0,0,0,NA,NA,0,NA,7,NA,NA,34,61,32,20,NA,NA,NA,NA,NA,13,NA,NA,0,0,35,0,14,NA,NA,0,17,NA,NA,25,NA,NA,28,NA,14,22,NA,18,4,NA,NA,0,NA
US-AL,2009-02-01,7,14,NA,0,NA,NA,0,0,0,22,NA,0,13,NA,43,39,0,29,0,0,0,0,NA,NA,18,NA,0,NA,NA,NA,NA,36,NA,0,0,14,NA,NA,0,NA,7,NA,NA,35,64,40,26,NA,NA,NA,NA,NA,8,NA,NA,0,0,35,64,0,NA,NA,0,0,NA,NA,0,NA,NA,29,NA,18,39,NA,12,4,NA,NA,0,NA
