geo,date,geo1,bandshell,beach ct,beach in ct,beach in nj,beach in ny,bell's palsy,berry picking,black legged tick,black tick,blarney island,blueberry farm,blueberry hill farm,blueberry patch,blueberry picking,broomfield bay,buffalo state park,bullseye rash,cascade lake,chautauqua ny,college bedding,concert in park,concert in the park,coupons for water,deer tick,echo lake campground,facial paralysis,fever,free concert,free concerts,free outdoor concerts,freeze blueberries,fried squash,how to freeze blueberries,joint pain,knee pain,lake beaches,lake in nj,lake water park,lyme,lyme disease,market fest,memorial beach,movie in park,movies in park,movies in the park,mt adams,music in the park,music under the stars,nara park,ny beach,oak street beach,outdoor movies,outdoor water park,rash,raspberry cobbler,river tube,roseville water park,sackets,sand castle contest,soak city,sprinkler park,squash flowers,state park mi,summer sizzler,swollen joint,swollen joints,swollen knee,swollen knees,the blueberry patch,tick,tired,u pick berries,u pick blueberries,warner center park,water kingdom,water tubing,water west,watermelon soup,waterworld denver,wild water,wild water kingdom,wild water west,zucchini flower
US-CA,2005-09-01,NA,30,35,0,0,42,59,54,0,21,0,0,NA,NA,0,NA,0,0,32,31,0,21,12,0,19,0,32,40,88,14,0,0,0,0,29,40,16,56,14,38,29,64,63,31,16,12,79,12,0,0,30,0,10,0,33,NA,24,14,0,21,15,0,0,0,0,40,0,0,0,NA,33,25,NA,0,61,27,45,46,33,0,15,0,91,0
US-CA,2005-10-01,NA,29,25,0,30,39,50,25,0,20,0,0,NA,NA,35,NA,52,0,30,0,0,10,0,0,18,0,89,39,82,15,0,0,58,0,41,37,9,0,8,35,28,0,44,19,9,0,55,3,0,0,12,41,19,0,32,NA,23,0,100,19,2,0,0,0,0,0,51,21,0,NA,34,28,NA,0,0,0,25,55,0,0,6,0,0,0
US-CA,2005-11-01,NA,0,17,72,0,41,52,0,0,21,0,0,NA,NA,0,NA,0,0,30,0,0,8,5,49,18,0,31,40,24,24,0,60,0,0,38,30,9,0,25,29,20,0,50,12,7,6,56,3,0,0,17,0,10,0,31,NA,0,0,51,0,0,0,0,0,100,0,52,22,42,NA,31,29,NA,0,0,44,26,31,0,0,4,0,0,0
US-CA,2005-12-01,NA,29,16,0,0,0,83,0,0,20,0,36,NA,NA,0,NA,0,0,30,28,0,6,5,0,18,0,29,46,31,10,0,0,57,0,39,26,9,0,16,24,18,60,45,11,9,6,54,4,0,0,16,41,10,0,26,NA,0,0,0,0,1,0,0,41,0,37,68,0,0,NA,42,28,NA,0,0,25,37,49,31,0,10,0,0,0
US-CA,2006-01-01,NA,25,15,0,0,0,81,33,0,18,0,0,NA,NA,0,NA,0,0,26,0,33,7,0,0,0,0,26,40,21,14,0,0,0,0,36,33,11,0,14,35,25,0,49,5,4,7,49,6,0,36,11,0,17,0,33,NA,20,12,0,0,2,0,0,36,0,33,45,18,0,NA,39,28,NA,0,0,34,0,27,0,0,11,0,0,0
US-CA,2006-02-01,NA,26,23,0,0,36,54,23,60,0,0,0,NA,NA,0,NA,0,0,27,26,0,6,4,0,0,0,27,46,29,21,0,0,0,0,55,33,16,95,7,23,21,0,40,13,6,5,50,5,0,0,15,0,18,0,31,NA,21,0,46,0,2,0,0,0,0,0,0,29,0,NA,37,28,NA,0,26,24,35,48,0,0,10,0,0,0
US-CA,2006-03-01,NA,0,25,0,0,91,78,0,0,16,0,0,NA,NA,0,NA,40,0,23,0,29,5,7,37,27,0,23,47,20,12,0,0,0,0,39,28,7,0,6,27,19,0,53,9,7,4,42,7,0,32,22,32,15,0,32,NA,18,0,0,15,4,0,0,32,0,29,39,16,31,NA,37,27,NA,0,43,26,32,43,0,0,14,22,0,0
US-CA,2006-04-01,NA,24,21,0,0,32,62,21,0,17,0,0,NA,NA,0,NA,0,0,48,24,0,9,8,40,22,0,37,44,39,20,53,0,0,0,41,27,7,0,17,33,25,0,32,27,11,12,45,7,49,0,13,0,16,0,32,NA,19,0,0,32,8,0,44,0,0,46,42,35,0,NA,43,27,NA,0,0,63,21,45,0,0,15,0,0,0
US-CA,2006-05-01,NA,22,17,0,0,31,68,39,0,16,40,55,NA,NA,0,NA,0,0,23,22,44,18,13,0,48,100,23,47,47,22,50,0,0,0,26,37,25,0,20,45,40,0,72,27,13,26,0,15,46,0,19,0,15,0,43,NA,26,21,39,15,13,24,41,63,75,0,40,0,31,NA,60,28,NA,65,32,33,26,50,0,0,33,22,0,0
US-CA,2006-06-01,NA,23,13,0,25,33,49,76,55,17,0,0,NA,NA,29,NA,42,37,61,0,63,50,52,0,22,0,49,43,98,47,0,0,47,0,38,34,41,0,41,41,32,50,58,29,25,28,45,44,0,0,33,33,28,0,45,NA,19,26,41,32,52,25,0,0,79,31,0,26,33,NA,57,33,NA,0,93,74,48,58,0,0,77,36,0,58
US-CA,2006-07-01,NA,23,22,56,36,32,45,74,0,16,0,0,NA,NA,0,NA,41,0,58,0,46,55,49,77,14,0,24,40,100,76,0,0,91,0,38,39,42,0,40,47,44,48,39,40,28,29,59,61,47,33,39,33,39,0,53,NA,37,43,40,39,76,0,43,64,78,45,0,0,65,NA,51,25,NA,0,45,41,40,47,37,0,88,0,69,0
US-CA,2006-08-01,NA,21,32,0,22,29,50,56,49,15,38,0,NA,NA,0,NA,38,0,36,63,57,49,49,36,26,0,0,38,61,49,0,65,85,0,28,28,36,38,39,33,35,0,53,32,42,35,40,51,44,31,24,0,47,29,39,NA,100,40,37,14,67,0,0,30,0,28,57,31,0,NA,45,27,NA,0,28,31,28,47,23,0,49,21,0,0
US-CA,2006-09-01,NA,21,20,52,22,30,59,28,0,15,0,53,NA,NA,27,NA,0,0,66,0,0,8,21,0,13,0,22,39,43,26,0,0,43,0,56,33,19,0,10,35,19,44,53,27,10,17,41,9,0,0,9,0,14,0,36,NA,17,0,0,29,14,0,0,30,0,0,57,16,30,NA,31,28,NA,0,21,0,56,55,0,0,16,0,0,52
US-CA,2006-10-01,NA,0,11,48,0,0,83,35,0,0,0,49,NA,NA,0,NA,0,0,30,0,0,6,6,33,12,0,31,41,38,17,0,0,0,0,43,33,8,0,8,28,23,0,48,19,9,8,38,4,0,0,14,0,13,28,29,NA,16,0,34,27,2,0,0,0,0,25,70,29,28,NA,28,25,NA,0,19,18,17,40,0,0,10,0,58,0
US-CA,2006-11-01,NA,20,23,0,0,36,78,17,0,0,0,0,NA,NA,0,NA,0,0,20,0,26,6,3,0,12,0,21,36,33,11,44,0,40,0,54,25,6,0,8,22,22,0,43,11,7,4,38,2,0,0,19,0,7,0,33,NA,16,0,34,0,1,0,0,0,67,0,70,0,28,NA,31,28,NA,0,19,18,34,48,0,0,6,0,0,0
US-CA,2006-12-01,NA,0,19,49,0,27,38,18,0,0,36,25,NA,NA,0,NA,0,0,21,0,0,3,0,0,0,0,31,40,18,8,0,0,0,0,36,29,6,73,6,22,15,0,34,16,5,0,38,4,41,0,31,0,7,0,29,NA,16,0,35,0,1,0,0,0,0,0,72,15,0,NA,28,22,NA,0,0,27,0,39,0,0,10,0,0,0
US-CA,2007-01-01,NA,18,20,0,0,37,49,0,0,0,0,0,NA,NA,22,NA,63,28,36,17,0,3,3,0,27,0,37,54,29,11,0,0,0,0,42,32,8,32,7,30,19,37,61,9,3,0,34,2,0,0,25,0,24,25,37,NA,28,8,0,12,1,0,0,0,0,23,53,13,0,NA,28,26,NA,0,17,21,15,25,0,0,7,0,0,0
US-CA,2007-02-01,NA,0,32,0,0,0,60,25,0,0,0,0,NA,NA,0,NA,0,0,25,0,25,6,5,0,11,0,20,56,19,7,0,0,0,0,41,34,11,0,15,29,20,0,39,19,4,4,36,5,0,26,10,26,19,0,28,NA,20,9,0,12,5,0,0,0,0,24,33,28,0,NA,31,26,NA,0,18,25,25,30,0,26,12,0,55,0
US-CA,2007-03-01,NA,0,22,41,0,45,67,0,0,23,0,0,NA,NA,0,NA,0,0,42,0,22,7,8,27,10,0,60,50,20,15,0,0,33,0,41,25,13,0,6,29,21,34,49,17,10,6,0,2,0,24,7,23,11,0,32,NA,39,0,0,0,7,17,0,0,0,21,29,18,0,NA,31,30,NA,0,24,15,14,34,0,0,7,0,0,0
US-CA,2007-04-01,NA,16,19,0,17,23,67,14,0,19,0,20,NA,NA,0,NA,0,0,17,0,22,7,8,28,25,0,17,41,44,19,0,33,0,0,46,29,20,30,11,30,28,35,54,19,11,14,63,6,0,0,12,0,14,0,35,NA,46,8,0,15,12,0,0,0,0,32,0,30,47,NA,39,26,NA,0,24,20,38,40,18,0,22,17,0,40
US-CA,2007-05-01,NA,33,12,0,22,19,57,25,32,10,25,35,NA,NA,35,NA,26,0,43,0,19,23,18,0,22,0,15,46,40,26,31,0,0,0,39,33,23,25,19,40,34,29,82,23,17,11,27,13,0,30,22,20,28,29,41,NA,30,22,0,10,17,15,26,0,0,18,50,31,0,NA,45,28,NA,0,27,12,16,39,0,0,36,14,0,34
US-CA,2007-06-01,NA,53,30,35,15,0,49,76,0,10,0,63,NA,NA,18,NA,52,0,45,0,58,55,48,24,27,66,15,41,60,67,32,30,29,72,52,31,25,26,33,41,36,40,69,51,32,49,28,46,60,21,18,0,22,0,41,NA,61,18,0,13,47,23,0,21,0,19,43,32,20,NA,45,35,NA,0,70,65,42,49,0,21,60,0,0,0
US-CA,2007-07-01,NA,32,16,34,14,32,71,61,0,15,25,43,NA,NA,52,NA,25,22,24,14,25,62,62,35,21,63,22,40,82,88,47,28,28,0,46,36,48,25,51,39,34,43,51,58,39,39,80,55,57,20,27,30,26,19,46,NA,33,46,24,42,62,15,0,30,47,36,49,10,20,NA,39,29,NA,41,95,58,53,43,15,0,92,0,42,100
US-CA,2007-08-01,NA,30,40,32,27,36,71,23,30,18,24,24,NA,NA,49,NA,24,21,54,0,53,48,41,33,8,59,14,38,76,32,0,27,26,65,39,29,33,24,42,54,47,55,53,38,33,29,50,45,27,0,20,37,13,28,42,NA,28,23,0,13,61,28,0,19,0,23,39,29,28,NA,40,35,NA,0,58,39,23,35,14,19,60,27,39,32
US-CA,2007-09-01,NA,27,13,33,19,25,74,23,0,0,24,50,NA,NA,0,NA,24,0,14,13,18,14,8,0,16,0,28,37,42,27,0,0,0,0,48,33,14,0,12,32,24,27,52,30,10,8,39,8,0,0,22,19,32,0,35,NA,25,13,0,9,15,14,0,0,0,17,24,30,31,NA,31,29,NA,0,26,40,23,41,0,0,24,20,0,65
US-CA,2007-10-01,NA,12,11,0,12,33,87,10,27,8,0,0,NA,NA,0,NA,0,0,12,0,16,3,0,20,18,0,29,39,31,15,0,0,47,0,33,33,5,21,5,27,21,24,41,22,12,7,34,3,0,0,15,0,12,17,30,NA,19,6,0,8,3,13,0,17,0,15,32,26,17,NA,26,29,NA,0,12,11,27,46,13,0,14,0,35,29
US-CA,2007-11-01,NA,0,11,29,12,25,52,10,0,12,0,15,NA,NA,0,NA,21,0,16,12,31,3,2,20,22,0,12,38,23,9,26,0,0,0,41,29,4,21,10,28,23,0,37,10,5,0,23,4,0,17,20,17,8,0,28,NA,22,0,21,0,1,0,22,17,0,23,21,22,17,NA,32,36,NA,0,23,21,15,59,0,0,9,0,0,0
US-CA,2007-12-01,NA,12,16,60,0,17,49,0,0,17,0,0,NA,NA,0,NA,22,0,19,12,32,3,0,0,23,0,13,39,31,10,0,0,25,0,40,26,4,22,3,24,20,25,36,12,3,2,47,4,25,0,10,0,6,17,31,NA,45,0,0,0,1,0,0,18,0,32,33,23,17,NA,28,29,NA,0,12,33,11,25,0,0,9,12,0,0
US-CA,2008-01-01,NA,11,23,0,0,15,67,19,0,31,19,13,NA,NA,13,NA,19,0,22,11,29,4,3,18,17,0,26,48,22,4,0,0,43,0,42,29,9,19,6,22,16,22,49,15,6,2,41,4,0,15,17,15,7,0,32,NA,37,0,25,0,3,0,0,15,0,0,29,16,15,NA,32,26,NA,0,16,24,38,29,0,0,13,22,0,0
US-CA,2008-02-01,NA,0,6,0,0,16,66,10,0,8,0,14,NA,NA,0,NA,21,18,23,11,0,3,4,19,24,0,20,56,26,10,0,0,23,0,31,30,5,0,4,29,23,0,50,11,6,2,32,1,23,0,22,16,6,0,32,NA,45,0,0,23,2,0,0,16,0,15,20,17,16,NA,30,29,NA,0,11,10,29,47,12,0,9,0,0,0
US-CA,2008-03-01,NA,11,19,0,11,15,54,10,25,8,0,14,NA,NA,14,NA,20,0,26,11,30,6,2,28,23,49,56,45,22,18,0,0,0,54,44,35,8,20,10,30,23,0,34,18,9,6,31,5,22,0,25,0,4,0,34,NA,35,5,0,15,7,18,0,0,0,14,45,28,15,NA,36,33,NA,0,21,10,38,28,0,0,12,0,0,0
US-CA,2008-04-01,NA,32,18,27,11,15,67,13,24,11,0,0,NA,NA,13,NA,19,17,11,11,21,17,9,0,13,0,22,43,42,25,0,22,32,0,41,31,14,19,9,31,28,30,49,16,7,4,52,6,22,0,35,15,9,30,37,NA,42,10,19,0,16,0,20,15,0,14,19,32,23,NA,43,34,NA,31,11,19,19,30,0,15,14,0,0,0
US-CA,2008-05-01,NA,25,33,26,28,34,45,28,25,7,19,40,NA,NA,26,NA,19,0,43,31,0,28,20,18,26,0,17,42,47,29,0,0,21,51,39,34,18,0,9,35,27,0,76,35,14,10,20,13,22,15,27,0,20,15,38,NA,37,12,0,7,18,0,20,15,0,35,47,36,0,NA,50,33,NA,0,28,41,28,52,0,0,32,11,0,0
US-CA,2008-06-01,NA,29,51,81,27,25,53,32,0,8,0,48,NA,NA,37,NA,0,34,38,11,49,54,49,37,17,0,15,37,55,66,25,22,44,0,42,35,27,0,29,35,36,35,44,49,40,28,42,53,34,16,40,0,35,15,44,NA,76,24,26,23,46,18,21,24,0,43,79,21,16,NA,43,32,NA,32,47,39,29,39,23,16,65,11,0,27
US-CA,2008-07-01,NA,38,32,39,27,19,52,44,24,7,19,33,NA,NA,31,NA,0,0,29,10,65,71,60,54,29,0,22,34,92,75,23,42,21,51,51,34,34,38,42,44,37,44,45,46,43,54,50,60,22,15,52,22,21,22,42,NA,47,18,0,18,62,15,39,15,72,14,19,39,15,NA,39,31,NA,0,89,38,46,57,23,30,74,16,0,0
US-CA,2008-08-01,NA,10,22,0,22,43,51,25,0,0,19,26,NA,NA,22,NA,19,0,43,0,52,50,44,29,16,48,17,33,80,46,0,21,42,100,43,37,31,19,28,35,29,22,40,43,37,31,20,40,0,0,47,22,16,15,38,NA,47,20,0,0,51,11,19,22,36,0,0,20,15,NA,41,36,NA,0,41,31,15,46,22,15,50,10,32,26
US-CA,2008-09-01,NA,16,15,24,20,14,66,13,0,7,0,12,NA,NA,12,NA,54,16,24,0,20,8,10,25,9,0,15,33,57,26,0,0,20,0,42,34,10,18,5,30,28,21,48,26,15,12,85,8,20,0,27,14,10,0,36,NA,63,5,17,14,11,11,19,0,0,22,18,26,0,NA,35,35,NA,0,19,18,26,47,11,0,9,0,0,24
US-CA,2008-10-01,NA,20,27,21,0,28,70,13,20,12,0,21,NA,NA,11,NA,0,14,21,0,17,6,3,15,16,0,9,36,28,15,0,0,17,0,34,31,5,46,2,32,29,18,36,23,13,3,39,4,18,12,22,0,6,12,33,NA,41,0,15,9,3,0,0,0,0,19,23,29,12,NA,36,27,NA,0,11,8,33,36,0,0,8,0,0,0
US-CA,2008-11-01,NA,0,15,24,10,14,46,9,0,14,0,12,NA,NA,0,NA,0,31,15,10,13,3,2,17,27,0,21,35,20,9,0,0,39,0,42,27,6,18,3,28,26,21,35,14,10,2,19,2,0,0,13,0,7,14,27,NA,21,0,17,0,2,0,0,0,0,19,18,29,0,NA,36,29,NA,0,10,0,17,26,0,0,4,10,0,0
US-CA,2008-12-01,NA,10,24,23,10,20,51,9,22,7,0,24,NA,NA,0,NA,17,0,13,0,0,4,2,16,12,0,20,34,21,10,0,20,19,0,32,27,6,17,3,19,19,0,32,20,4,6,18,3,0,28,19,0,5,14,30,NA,49,5,0,0,1,0,18,14,0,19,34,22,0,NA,34,29,NA,0,10,26,22,43,0,0,7,0,0,0
US-CA,2009-01-01,NA,9,25,22,19,29,72,12,21,19,0,0,NA,NA,11,NA,16,0,9,9,12,3,0,23,20,0,19,40,29,13,0,18,18,45,43,30,6,16,6,24,22,39,42,19,8,4,35,3,0,0,27,0,5,13,31,NA,51,4,16,0,2,0,0,0,0,24,32,20,0,NA,32,31,NA,0,0,16,24,30,10,0,8,9,0,22
US-CA,2009-02-01,NA,9,20,47,20,13,74,8,22,7,17,12,NA,NA,0,NA,17,15,26,0,25,5,3,32,29,0,23,45,21,12,0,19,19,46,36,31,8,17,5,23,19,0,37,23,5,4,45,2,0,0,19,13,8,0,32,NA,43,0,0,10,3,0,18,14,0,25,39,21,22,NA,30,37,NA,0,12,8,25,24,0,0,5,10,0,0
US-CA,2009-03-01,NA,12,27,21,9,31,56,11,19,16,15,10,NA,NA,10,NA,15,0,17,11,17,5,3,14,23,0,23,41,35,17,0,0,17,0,36,30,9,15,8,33,28,35,35,13,9,5,21,3,0,0,29,12,3,18,34,NA,48,8,22,6,5,0,0,12,0,16,39,12,24,NA,37,38,NA,0,12,15,27,47,9,0,12,0,0,40
US-CA,2009-04-01,NA,8,36,21,18,31,75,11,0,10,0,21,NA,NA,10,NA,20,0,14,8,17,8,13,28,47,0,22,44,60,19,0,0,17,0,42,35,8,23,9,36,29,17,95,17,9,3,49,8,17,0,31,0,14,0,37,NA,71,4,29,14,10,9,31,24,0,22,20,19,24,NA,42,36,NA,0,8,12,29,37,18,0,22,8,25,0
US-CA,2009-05-01,NA,16,21,0,30,33,43,33,18,17,0,25,NA,NA,10,NA,14,0,24,13,11,23,22,27,32,0,11,41,38,33,35,16,16,39,52,38,21,35,17,34,35,22,62,24,12,6,30,15,49,33,50,22,15,11,38,NA,73,25,21,0,17,17,30,17,0,21,38,24,11,NA,45,35,NA,47,12,26,23,40,0,11,36,8,0,19
US-CA,2009-06-01,NA,16,19,20,20,37,68,81,0,14,15,41,NA,NA,24,NA,36,13,31,16,29,35,38,41,60,37,11,39,62,54,54,0,33,0,38,41,40,34,37,36,28,17,33,43,41,33,36,61,0,17,35,0,23,23,37,NA,62,27,14,20,29,18,35,23,54,14,39,18,11,NA,48,34,NA,24,26,12,28,46,17,12,58,16,49,30
US-CA,2009-07-01,NA,31,48,0,41,51,56,46,18,15,0,29,NA,NA,49,NA,14,12,40,18,84,61,59,53,48,0,12,38,100,75,35,40,32,38,40,32,37,28,38,40,33,22,42,43,48,51,30,57,41,0,52,0,49,18,40,NA,71,51,0,21,66,20,24,30,26,10,37,12,22,NA,41,36,NA,23,33,37,34,38,30,22,65,19,35,38
US-CA,2009-08-01,NA,25,37,19,29,42,78,20,0,9,14,24,NA,NA,16,NA,14,0,37,31,34,39,24,47,24,34,8,34,77,41,34,23,38,37,49,31,26,21,23,32,29,37,37,51,32,31,59,32,16,22,36,11,17,16,39,NA,63,36,18,8,45,8,38,18,26,40,23,23,11,NA,37,34,NA,0,35,27,31,36,8,16,42,8,0,37
US-CA,2009-09-01,NA,7,26,54,21,38,44,11,17,13,0,9,NA,NA,19,NA,13,12,36,10,17,16,13,25,39,0,8,39,68,18,17,0,15,0,34,33,10,13,8,29,27,26,30,28,7,9,22,8,47,11,34,11,13,10,33,NA,59,11,13,12,15,8,14,11,0,23,13,11,11,NA,30,32,NA,0,11,24,24,44,12,11,14,8,22,0
